sentence_001.wav|Halo, nama saya adalah sistem suara buatan.
sentence_002.wav|Saya sedang belajar berbicara bahasa Indonesia.
sentence_003.wav|Hari ini cuaca cukup cerah.
sentence_004.wav|Besok adalah hari Sabtu.
sentence_005.wav|Pasar tradisional buka setiap pagi.
sentence_006.wav|Anak-anak bermain di taman dengan gembira.
sentence_007.wav|Saya suka makan nasi goreng.
sentence_008.wav|Minuman favorit saya adalah teh hangat.
sentence_009.wav|Buku itu sangat menarik untuk dibaca.
sentence_010.wav|Dia pergi ke sekolah naik sepeda.
sentence_011.wav|Apa kabar hari ini?
sentence_012.wav|Semoga harimu menyenangkan.
sentence_013.wav|Belajar bahasa baru membutuhkan waktu.
sentence_014.wav|Warna merah adalah warna kesukaanku.
sentence_015.wav|Kucing itu tidur di atas kursi.
sentence_016.wav|Rumah kami tidak jauh dari sini.
sentence_017.wav|Pohon mangga itu berbuah lebat.
sentence_018.wav|Ibu memasak ayam goreng di dapur.
sentence_019.wav|Ayah membaca koran di ruang tamu.
sentence_020.wav|Mereka sedang menonton televisi bersama.
sentence_021.wav|Ada berapa orang di ruangan ini?
sentence_022.wav|Saya ingin membeli buah-buahan segar.
sentence_023.wav|Toko itu menjual berbagai macam barang.
sentence_024.wav|Jalanan di kota ini cukup ramai.
sentence_025.wav|Lampu merah berarti berhenti.
sentence_026.wav|Lampu hijau berarti jalan.
sentence_027.wav|Telepon genggam saya berbunyi.
sentence_028.wav|Kirimkan pesan ini padanya.
sentence_029.wav|Bisa tolong bantu saya sebentar?
sentence_030.wav|Terima kasih banyak atas bantuannya.
sentence_031.wav|Maaf, saya tidak mengerti.
sentence_032.wav|Bisa ulangi sekali lagi?
sentence_033.wav|Suaranya terdengar sangat jelas.
sentence_034.wav|Gunung itu terlihat sangat tinggi.
sentence_035.wav|Air sungai mengalir dengan deras.
sentence_036.wav|Petani bekerja di sawah setiap hari.
sentence_037.wav|Nelayan menangkap ikan di laut.
sentence_038.wav|Burung-burung berkicau di pagi hari.
sentence_039.wav|Bunga mawar itu sangat indah.
sentence_040.wav|Malam ini bulan bersinar terang.
sentence_041.wav|Bintang-bintang berkelip di langit.
sentence_042.wav|Saya belajar dari jam tujuh pagi.
sentence_043.wav|Kantor pos ada di sebelah bank.
sentence_044.wav|Dia memakai baju berwarna biru.
sentence_045.wav|Sepatu baru itu sangat nyaman.
sentence_046.wav|Komputer ini bekerja dengan cepat.
sentence_047.wav|Internet hari ini agak lambat.
sentence_048.wav|Mari kita mulai pekerjaan ini.
sentence_049.wav|Proyek ini harus selesai minggu depan.
sentence_050.wav|Rapat akan dimulai pukul sembilan.
sentence_051.wav|Saya lahir di Indonesia.
sentence_052.wav|Bahasa nasional kita adalah Bahasa Indonesia.
sentence_053.wav|Kami senang tinggal di kota ini.
sentence_054.wav|Banyak makanan enak di sini.
sentence_055.wav|Orang tuaku tinggal di desa.
sentence_056.wav|Setiap tahun kami pulang kampung.
sentence_057.wav|Musik itu terdengar merdu.
sentence_058.wav|Dia pandai bermain gitar.
sentence_059.wav|Film tadi malam sangat seru.
sentence_060.wav|Saya lebih suka membaca buku.
sentence_061.wav|Apakah kamu punya hobi?
sentence_062.wav|Hobi saya adalah berenang.
sentence_063.wav|Kesehatan adalah hal yang penting.
sentence_064.wav|Jangan lupa berolahraga secara teratur.
sentence_065.wav|Tidur yang cukup baik untuk tubuh.
sentence_066.wav|Pagi ini saya bangun kesiangan.
sentence_067.wav|Saya harus segera berangkat kerja.
sentence_068.wav|Kunci motor saya ada di mana ya?
sentence_069.wav|Tas ini cukup berat.
sentence_070.wav|Pintu itu tolong ditutup.
sentence_071.wav|Jendela ini perlu dibersihkan.
sentence_072.wav|Lantai rumah ini bersih sekali.
sentence_073.wav|Ada pesan baru untuk Anda.
